agent,game_num,score,record,mean_score
Random,3517,0,2,0.132
Random,3518,0,2,0.132
Random,3519,0,2,0.132
BFS,237,30,88,51.840
Random,3520,0,2,0.132
Random,3521,0,2,0.132
Random,3522,0,2,0.132
Random,3523,0,2,0.132
DQN,550,50,55,19.636
Random,3524,1,2,0.132
Random,3525,0,2,0.132
Random,3526,0,2,0.132
Random,3527,0,2,0.132
Random,3528,0,2,0.132
A*,242,38,90,51.153
Random,3529,0,2,0.132
Random,3530,0,2,0.132
Random,3531,0,2,0.132
Random,3532,0,2,0.132
Random,3533,1,2,0.132
Random,3534,0,2,0.132
Random,3535,0,2,0.132
BFS,238,35,88,51.769
Random,3536,0,2,0.132
Random,3537,0,2,0.132
DQN,551,35,55,19.664
Random,3538,0,2,0.132
Random,3539,0,2,0.132
Random,3540,0,2,0.132
Random,3541,0,2,0.132
DQN,552,21,55,19.667
Random,3542,0,2,0.132
A*,243,53,90,51.160
Random,3543,0,2,0.132
DQN,553,15,55,19.658
Random,3544,0,2,0.131
Random,3545,0,2,0.131
Random,3546,0,2,0.131
Random,3547,0,2,0.131
Random,3548,0,2,0.131
Random,3549,0,2,0.131
Random,3550,0,2,0.131
Random,3551,0,2,0.131
BFS,239,71,88,51.849
Random,3552,0,2,0.131
Random,3553,0,2,0.131
Random,3554,0,2,0.131
Random,3555,0,2,0.131
DQN,554,28,55,19.673
Random,3556,0,2,0.131
Random,3557,0,2,0.131
BFS,240,19,88,51.712
Random,3558,0,2,0.131
Random,3559,0,2,0.131
Random,3560,0,2,0.131
Random,3561,0,2,0.131
Random,3562,0,2,0.131
Random,3563,0,2,0.131
DQN,555,25,55,19.683
Random,3564,1,2,0.131
Random,3565,0,2,0.131
Random,3566,0,2,0.131
Random,3567,0,2,0.131
Random,3568,1,2,0.131
Random,3569,0,2,0.131
Random,3570,0,2,0.131
Random,3571,0,2,0.131
Random,3572,1,2,0.131
Random,3573,0,2,0.131
DQN,556,17,55,19.678
Random,3574,0,2,0.131
Random,3575,0,2,0.131
Random,3576,2,2,0.132
A*,244,83,90,51.291
Random,3577,1,2,0.132
Random,3578,0,2,0.132
BFS,241,54,88,51.722
Random,3579,0,2,0.132
Random,3580,0,2,0.132
DQN,557,33,55,19.702
Random,3581,0,2,0.132
Random,3582,0,2,0.132
Random,3583,0,2,0.132
Random,3584,0,2,0.132
Random,3585,0,2,0.132
Random,3586,0,2,0.132
Random,3587,0,2,0.132
Random,3588,0,2,0.132
Random,3589,0,2,0.132
