agent,game_num,score,record,mean_score
DQN,1,0,0,0.000
Random,1,0,0,0.000
DQN,2,0,0,0.000
Random,2,0,0,0.000
DQN,3,0,0,0.000
Random,3,0,0,0.000
DQN,4,0,0,0.000
DQN,5,0,0,0.000
Random,4,0,0,0.000
DQN,6,0,0,0.000
DQN,7,0,0,0.000
DQN,8,0,0,0.000
DQN,9,0,0,0.000
A*,1,26,26,26.000
Random,5,0,0,0.000
DQN,10,0,0,0.000
DQN,11,0,0,0.000
Random,6,0,0,0.000
Random,7,0,0,0.000
DQN,12,0,0,0.000
Random,8,0,0,0.000
DQN,13,1,1,0.077
Random,9,0,0,0.000
Random,10,0,0,0.000
Random,11,0,0,0.000
DQN,14,0,1,0.071
Random,12,0,0,0.000
Random,13,0,0,0.000
DQN,15,0,1,0.067
Random,14,0,0,0.000
DQN,16,0,1,0.062
Random,15,0,0,0.000
DQN,17,0,1,0.059
BFS,1,46,46,46.000
DQN,18,0,1,0.056
Random,16,0,0,0.000
DQN,19,0,1,0.053
Random,17,0,0,0.000
Random,18,0,0,0.000
DQN,20,0,1,0.050
DQN,21,0,1,0.048
A*,2,51,51,38.500
BFS,2,27,46,36.500
Random,19,0,0,0.000
Random,20,1,1,0.050
Random,21,0,1,0.048
Random,22,0,1,0.045
Random,23,0,1,0.043
DQN,22,0,1,0.045
Random,24,0,1,0.042
DQN,23,0,1,0.043
Random,25,1,1,0.080
Random,26,0,1,0.077
Random,27,0,1,0.074
Random,28,0,1,0.071
Random,29,0,1,0.069
DQN,24,0,1,0.042
DQN,25,0,1,0.040
DQN,26,0,1,0.038
Random,30,0,1,0.067
DQN,27,1,1,0.074
Random,31,0,1,0.065
DQN,28,3,3,0.179
DQN,29,0,3,0.172
Random,32,0,1,0.062
Random,33,0,1,0.061
Random,34,0,1,0.059
Random,35,0,1,0.057
Random,36,0,1,0.056
A*,3,57,57,44.667
DQN,30,0,3,0.167
Random,37,0,1,0.054
DQN,31,1,3,0.194
DQN,32,0,3,0.188
Random,38,0,1,0.053
DQN,33,1,3,0.212
BFS,3,61,61,44.667
Random,39,0,1,0.051
Random,40,0,1,0.050
DQN,34,1,3,0.235
Random,41,0,1,0.049
Random,42,0,1,0.048
Random,43,0,1,0.047
Random,44,0,1,0.045
DQN,35,0,3,0.229
Random,45,0,1,0.044
DQN,36,1,3,0.250
Random,46,1,1,0.065
Random,47,1,1,0.085
DQN,37,1,3,0.270
Random,48,1,1,0.104
DQN,38,1,3,0.289
DQN,39,0,3,0.282
BFS,4,39,61,43.250
Random,49,1,1,0.122
DQN,40,0,3,0.275
Random,50,0,1,0.120
DQN,41,1,3,0.293
Random,51,1,1,0.137
Random,52,1,1,0.154
DQN,42,0,3,0.286
Random,53,0,1,0.151
A*,4,57,57,47.750
Random,54,0,1,0.148
Random,55,0,1,0.145
DQN,43,0,3,0.279
DQN,44,0,3,0.273
DQN,45,1,3,0.289
Random,56,0,1,0.143
Random,57,1,1,0.158
Random,58,1,1,0.172
DQN,46,1,3,0.304
Random,59,0,1,0.169
Random,60,0,1,0.167
DQN,47,2,3,0.340
BFS,5,43,61,43.200
DQN,48,0,3,0.333
DQN,49,0,3,0.327
Random,61,0,1,0.164
Random,62,0,1,0.161
Random,63,0,1,0.159
Random,64,0,1,0.156
DQN,50,1,3,0.340
Random,65,0,1,0.154
Random,66,0,1,0.152
Random,67,0,1,0.149
DQN,51,1,3,0.353
Random,68,0,1,0.147
DQN,52,0,3,0.346
Random,69,0,1,0.145
A*,5,64,64,51.000
Random,70,0,1,0.143
DQN,53,2,3,0.377
Random,71,0,1,0.141
BFS,6,61,61,46.167
Random,72,0,1,0.139
Random,73,0,1,0.137
DQN,54,0,3,0.370
Random,74,1,1,0.149
Random,75,1,1,0.160
Random,76,1,1,0.171
DQN,55,0,3,0.364
Random,77,0,1,0.169
DQN,56,1,3,0.375
DQN,57,0,3,0.368
Random,78,0,1,0.167
DQN,58,1,3,0.379
Random,79,0,1,0.165
Random,80,0,1,0.163
Random,81,0,1,0.160
Random,82,0,1,0.159
DQN,59,3,3,0.424
DQN,60,0,3,0.417
Random,83,0,1,0.157
Random,84,0,1,0.155
A*,6,47,64,50.333
DQN,61,1,3,0.426
Random,85,0,1,0.153
DQN,62,1,3,0.435
DQN,63,0,3,0.429
Random,86,0,1,0.151
BFS,7,50,61,46.714
Random,87,0,1,0.149
DQN,64,2,3,0.453
Random,88,0,1,0.148
DQN,65,1,3,0.462
DQN,66,1,3,0.470
Random,89,0,1,0.146
BFS,8,23,61,43.750
DQN,67,1,3,0.478
Random,90,0,1,0.144
Random,91,0,1,0.143
Random,92,0,1,0.141
Random,93,0,1,0.140
DQN,68,2,3,0.500
Random,94,0,1,0.138
Random,95,0,1,0.137
Random,96,0,1,0.135
Random,97,0,1,0.134
DQN,69,2,3,0.522
Random,98,0,1,0.133
A*,7,56,64,51.143
Random,99,0,1,0.131
Random,100,0,1,0.130
DQN,70,3,3,0.557
DQN,71,0,3,0.549
Random,101,0,1,0.129
DQN,72,0,3,0.542
DQN,73,0,3,0.534
Random,102,0,1,0.127
Random,103,0,1,0.126
DQN,74,0,3,0.527
Random,104,0,1,0.125
Random,105,0,1,0.124
Random,106,0,1,0.123
BFS,9,50,61,44.444
Random,107,0,1,0.121
Random,108,0,1,0.120
DQN,75,0,3,0.520
DQN,76,1,3,0.526
Random,109,0,1,0.119
DQN,77,0,3,0.519
Random,110,0,1,0.118
DQN,78,2,3,0.538
Random,111,0,1,0.117
A*,8,55,64,51.625
Random,112,0,1,0.116
DQN,79,0,3,0.532
Random,113,0,1,0.115
Random,114,0,1,0.114
Random,115,0,1,0.113
Random,116,0,1,0.112
Random,117,0,1,0.111
BFS,10,48,61,44.800
Random,118,0,1,0.110
Random,119,0,1,0.109
Random,120,0,1,0.108
Random,121,0,1,0.107
Random,122,0,1,0.107
DQN,80,1,3,0.537
Random,123,0,1,0.106
Random,124,0,1,0.105
Random,125,0,1,0.104
Random,126,1,1,0.111
BFS,11,41,61,44.455
Random,127,0,1,0.110
Random,128,0,1,0.109
A*,9,63,64,52.889
Random,129,0,1,0.109
Random,130,0,1,0.108
Random,131,0,1,0.107
Random,132,0,1,0.106
DQN,81,1,3,0.543
Random,133,0,1,0.105
Random,134,0,1,0.104
Random,135,0,1,0.104
Random,136,1,1,0.110
Random,137,0,1,0.109
Random,138,0,1,0.109
Random,139,0,1,0.108
BFS,12,55,61,45.333
Random,140,1,1,0.114
Random,141,0,1,0.113
Random,142,1,1,0.120
Random,143,0,1,0.119
A*,10,59,64,53.500
Random,144,0,1,0.118
Random,145,1,1,0.124
Random,146,0,1,0.123
Random,147,0,1,0.122
Random,148,0,1,0.122
Random,149,1,1,0.128
Random,150,0,1,0.127
Random,151,0,1,0.126
DQN,82,4,4,0.585
Random,152,0,1,0.125
Random,153,0,1,0.124
Random,154,0,1,0.123
Random,155,0,1,0.123
Random,156,0,1,0.122
Random,157,0,1,0.121
BFS,13,61,61,46.538
Random,158,0,1,0.120
A*,11,54,64,53.545
Random,159,0,1,0.119
Random,160,0,1,0.119
Random,161,0,1,0.118
DQN,83,1,4,0.590
Random,162,0,1,0.117
Random,163,2,2,0.129
Random,164,1,2,0.134
BFS,14,31,61,45.429
Random,165,0,2,0.133
Random,166,0,2,0.133
Random,167,0,2,0.132
Random,168,0,2,0.131
Random,169,0,2,0.130
Random,170,0,2,0.129
Random,171,0,2,0.129
A*,12,50,64,53.250
A*,13,6,64,49.615
Random,172,0,2,0.128
DQN,84,2,4,0.607
Random,173,0,2,0.127
Random,174,0,2,0.126
Random,175,0,2,0.126
Random,176,0,2,0.125
Random,177,0,2,0.124
Random,178,1,2,0.129
Random,179,0,2,0.128
Random,180,0,2,0.128
Random,181,0,2,0.127
Random,182,0,2,0.126
Random,183,0,2,0.126
DQN,85,0,4,0.600
BFS,15,68,68,46.933
Random,184,0,2,0.125
Random,185,0,2,0.124
Random,186,0,2,0.124
Random,187,0,2,0.123
A*,14,51,64,49.714
Random,188,0,2,0.122
Random,189,0,2,0.122
Random,190,0,2,0.121
Random,191,0,2,0.120
DQN,86,0,4,0.593
Random,192,0,2,0.120
Random,193,0,2,0.119
Random,194,0,2,0.119
Random,195,0,2,0.118
Random,196,1,2,0.122
Random,197,0,2,0.122
Random,198,0,2,0.121
A*,15,46,64,49.467
DQN,87,0,4,0.586
Random,199,0,2,0.121
Random,200,0,2,0.120
Random,201,1,2,0.124
Random,202,0,2,0.124
Random,203,0,2,0.123
BFS,16,59,68,47.688
Random,204,0,2,0.123
Random,205,1,2,0.127
Random,206,0,2,0.126
Random,207,0,2,0.126
Random,208,0,2,0.125
Random,209,0,2,0.124
Random,210,0,2,0.124
A*,16,39,64,48.812
Random,211,2,2,0.133
Random,212,0,2,0.132
Random,213,0,2,0.131
Random,214,0,2,0.131
Random,215,1,2,0.135
Random,216,1,2,0.139
Random,217,0,2,0.138
BFS,17,51,68,47.882
Random,218,0,2,0.138
Random,219,0,2,0.137
Random,220,0,2,0.136
Random,221,0,2,0.136
Random,222,0,2,0.135
Random,223,0,2,0.135
Random,224,0,2,0.134
Random,225,0,2,0.133
DQN,88,5,5,0.636
Random,226,0,2,0.133
Random,227,0,2,0.132
Random,228,0,2,0.132
Random,229,0,2,0.131
BFS,18,37,68,47.278
DQN,89,0,5,0.629
Random,230,0,2,0.130
Random,231,0,2,0.130
Random,232,0,2,0.129
A*,17,77,77,50.471
Random,233,0,2,0.129
Random,234,0,2,0.128
Random,235,0,2,0.128
Random,236,0,2,0.127
Random,237,0,2,0.127
Random,238,1,2,0.130
DQN,90,0,5,0.622
Random,239,0,2,0.130
Random,240,0,2,0.129
Random,241,0,2,0.129
BFS,19,38,68,46.789
A*,18,24,77,49.000
Random,242,0,2,0.128
Random,243,0,2,0.128
Random,244,2,2,0.135
Random,245,0,2,0.135
Random,246,1,2,0.138
Random,247,0,2,0.138
Random,248,0,2,0.137
DQN,91,1,5,0.626
Random,249,0,2,0.137
Random,250,0,2,0.136
Random,251,1,2,0.139
Random,252,1,2,0.143
Random,253,0,2,0.142
A*,19,64,77,49.789
Random,254,0,2,0.142
DQN,92,0,5,0.620
Random,255,0,2,0.141
Random,256,0,2,0.141
Random,257,1,2,0.144
Random,258,0,2,0.143
Random,259,0,2,0.143
BFS,20,74,74,48.150
Random,260,1,2,0.146
Random,261,0,2,0.146
Random,262,1,2,0.149
Random,263,0,2,0.148
Random,264,0,2,0.148
Random,265,0,2,0.147
Random,266,0,2,0.147
Random,267,0,2,0.146
Random,268,0,2,0.146
Random,269,0,2,0.145
Random,270,0,2,0.144
Random,271,0,2,0.144
Random,272,0,2,0.143
Random,273,0,2,0.143
BFS,21,38,74,47.667
Random,274,0,2,0.142
DQN,93,3,5,0.645
A*,20,61,77,50.350
Random,275,0,2,0.142
Random,276,0,2,0.141
Random,277,0,2,0.141
Random,278,0,2,0.140
BFS,22,30,74,46.864
Random,279,0,2,0.140
Random,280,0,2,0.139
Random,281,0,2,0.139
Random,282,0,2,0.138
Random,283,0,2,0.138
Random,284,0,2,0.137
DQN,94,1,5,0.649
Random,285,0,2,0.137
Random,286,0,2,0.136
Random,287,0,2,0.136
Random,288,0,2,0.135
Random,289,1,2,0.138
Random,290,0,2,0.138
Random,291,0,2,0.137
A*,21,56,77,50.619
Random,292,0,2,0.137
Random,293,0,2,0.137
DQN,95,0,5,0.642
BFS,23,46,74,46.826
Random,294,0,2,0.136
Random,295,0,2,0.136
Random,296,0,2,0.135
Random,297,0,2,0.135
Random,298,0,2,0.134
Random,299,0,2,0.134
BFS,24,22,74,45.792
Random,300,0,2,0.133
Random,301,0,2,0.133
Random,302,0,2,0.132
Random,303,0,2,0.132
Random,304,1,2,0.135
A*,22,45,77,50.364
Random,305,0,2,0.134
Random,306,0,2,0.134
Random,307,0,2,0.134
Random,308,0,2,0.133
Random,309,1,2,0.136
Random,310,0,2,0.135
BFS,25,39,74,45.520
Random,311,0,2,0.135
Random,312,0,2,0.135
Random,313,1,2,0.137
Random,314,1,2,0.140
Random,315,1,2,0.143
A*,23,49,77,50.304
Random,316,2,2,0.149
Random,317,0,2,0.148
Random,318,1,2,0.151
Random,319,0,2,0.150
Random,320,0,2,0.150
BFS,26,62,74,46.154
Random,321,1,2,0.153
Random,322,0,2,0.152
DQN,96,9,9,0.729
Random,323,0,2,0.152
Random,324,1,2,0.154
Random,325,0,2,0.154
A*,24,61,77,50.750
Random,326,0,2,0.153
Random,327,0,2,0.153
Random,328,0,2,0.152
Random,329,0,2,0.152
DQN,97,13,13,0.856
Random,330,0,2,0.152
Random,331,0,2,0.151
Random,332,1,2,0.154
Random,333,0,2,0.153
Random,334,0,2,0.153
BFS,27,51,74,46.333
Random,335,0,2,0.152
Random,336,0,2,0.152
Random,337,0,2,0.151
Random,338,0,2,0.151
Random,339,0,2,0.150
A*,25,39,77,50.280
Random,340,0,2,0.150
Random,341,0,2,0.150
Random,342,1,2,0.152
Random,343,0,2,0.152
Random,344,0,2,0.151
DQN,98,21,21,1.061
Random,345,0,2,0.151
Random,346,0,2,0.150
Random,347,0,2,0.150
A*,26,38,77,49.808
Random,348,0,2,0.149
Random,349,1,2,0.152
BFS,28,63,74,46.929
Random,350,0,2,0.151
Random,351,0,2,0.151
Random,352,1,2,0.153
Random,353,0,2,0.153
Random,354,0,2,0.153
Random,355,0,2,0.152
Random,356,0,2,0.152
Random,357,0,2,0.151
Random,358,0,2,0.151
Random,359,0,2,0.150
Random,360,0,2,0.150
Random,361,0,2,0.150
Random,362,0,2,0.149
Random,363,0,2,0.149
Random,364,1,2,0.151
A*,27,65,77,50.370
BFS,29,46,74,46.897
Random,365,0,2,0.151
Random,366,1,2,0.153
Random,367,0,2,0.153
Random,368,0,2,0.152
Random,369,0,2,0.152
Random,370,0,2,0.151
Random,371,1,2,0.154
Random,372,0,2,0.153
Random,373,0,2,0.153
Random,374,0,2,0.152
Random,375,0,2,0.152
Random,376,0,2,0.152
Random,377,0,2,0.151
Random,378,0,2,0.151
Random,379,0,2,0.150
Random,380,0,2,0.150
Random,381,0,2,0.150
Random,382,0,2,0.149
Random,383,1,2,0.151
BFS,30,51,74,47.033
Random,384,0,2,0.151
A*,28,59,77,50.679
Random,385,0,2,0.151
Random,386,0,2,0.150
Random,387,0,2,0.150
DQN,99,14,21,1.192
Random,388,0,2,0.149
Random,389,1,2,0.152
Random,390,0,2,0.151
Random,391,0,2,0.151
BFS,31,30,74,46.484
Random,392,0,2,0.151
Random,393,0,2,0.150
Random,394,0,2,0.150
Random,395,0,2,0.149
Random,396,0,2,0.149
Random,397,1,2,0.151
Random,398,0,2,0.151
Random,399,0,2,0.150
A*,29,52,77,50.724
Random,400,1,2,0.152
Random,401,0,2,0.152
DQN,100,3,21,1.210
Random,402,0,2,0.152
Random,403,1,2,0.154
Random,404,1,2,0.156
Random,405,1,2,0.158
BFS,32,55,74,46.750
Random,406,0,2,0.158
Random,407,0,2,0.157
Random,408,0,2,0.157
Random,409,1,2,0.159
Random,410,0,2,0.159
DQN,101,0,21,1.198
Random,411,0,2,0.158
Random,412,0,2,0.158
Random,413,0,2,0.157
Random,414,0,2,0.157
A*,30,48,77,50.633
Random,415,0,2,0.157
Random,416,1,2,0.159
Random,417,0,2,0.158
Random,418,0,2,0.158
DQN,102,0,21,1.186
Random,419,1,2,0.160
Random,420,0,2,0.160
Random,421,0,2,0.159
Random,422,0,2,0.159
BFS,33,57,74,47.061
Random,423,0,2,0.158
DQN,103,7,21,1.243
Random,424,0,2,0.158
Random,425,0,2,0.158
Random,426,0,2,0.157
Random,427,0,2,0.157
Random,428,1,2,0.159
Random,429,0,2,0.159
A*,31,55,77,50.774
Random,430,0,2,0.158
Random,431,0,2,0.158
DQN,104,9,21,1.317
Random,432,0,2,0.157
Random,433,0,2,0.157
Random,434,0,2,0.157
Random,435,1,2,0.159
Random,436,0,2,0.158
Random,437,0,2,0.158
Random,438,0,2,0.158
Random,439,1,2,0.159
Random,440,0,2,0.159
Random,441,0,2,0.159
A*,32,33,77,50.219
Random,442,1,2,0.161
DQN,105,0,21,1.305
Random,443,0,2,0.160
BFS,34,52,74,47.206
Random,444,0,2,0.160
Random,445,0,2,0.160
Random,446,0,2,0.159
Random,447,1,2,0.161
Random,448,0,2,0.161
Random,449,0,2,0.160
Hamiltonian,1,297,297,297.000
Random,450,0,2,0.160
Random,451,0,2,0.160
Random,452,0,2,0.159
BFS,35,42,74,47.057
Random,453,0,2,0.159
Random,454,0,2,0.159
Random,455,0,2,0.158
Random,456,0,2,0.158
Random,457,0,2,0.158
Random,458,0,2,0.157
Random,459,0,2,0.157
DQN,106,37,37,1.642
Random,460,0,2,0.157
Random,461,0,2,0.156
Random,462,0,2,0.156
Random,463,0,2,0.156
Random,464,0,2,0.155
Random,465,0,2,0.155
A*,33,82,82,51.182
Random,466,0,2,0.155
Random,467,0,2,0.154
DQN,107,19,37,1.804
Random,468,0,2,0.154
Random,469,0,2,0.154
Random,470,1,2,0.155
Random,471,0,2,0.155
BFS,36,66,74,47.583
DQN,108,11,37,1.889
Random,472,0,2,0.155
Random,473,0,2,0.154
Random,474,0,2,0.154
Random,475,0,2,0.154
Random,476,0,2,0.153
Random,477,0,2,0.153
Random,478,0,2,0.153
Random,479,0,2,0.152
Random,480,0,2,0.152
DQN,109,22,37,2.073
Random,481,1,2,0.154
Random,482,0,2,0.154
A*,34,56,82,51.324
Random,483,0,2,0.153
Random,484,1,2,0.155
Random,485,0,2,0.155
Random,486,1,2,0.156
Random,487,0,2,0.156
Random,488,0,2,0.156
BFS,37,52,74,47.703
Random,489,0,2,0.155
Random,490,0,2,0.155
Random,491,0,2,0.155
Random,492,0,2,0.154
Random,493,0,2,0.154
Random,494,0,2,0.154
Random,495,0,2,0.154
Random,496,0,2,0.153
Random,497,0,2,0.153
Random,498,0,2,0.153
A*,35,53,82,51.371
Random,499,0,2,0.152
Random,500,0,2,0.152
Random,501,0,2,0.152
Random,502,1,2,0.153
Random,503,0,2,0.153
Random,504,0,2,0.153
Random,505,0,2,0.152
Random,506,0,2,0.152
BFS,38,56,74,47.921
A*,36,24,82,50.611
Random,507,1,2,0.154
Random,508,1,2,0.156
Random,509,0,2,0.155
Random,510,0,2,0.155
Random,511,0,2,0.155
Random,512,0,2,0.154
Random,513,0,2,0.154
Random,514,0,2,0.154
Random,515,0,2,0.153
A*,37,49,82,50.568
Random,516,0,2,0.153
Random,517,0,2,0.153
Random,518,0,2,0.153
Random,519,0,2,0.152
Random,520,0,2,0.152
Random,521,0,2,0.152
DQN,110,13,37,2.173
Random,522,1,2,0.153
Random,523,0,2,0.153
Random,524,0,2,0.153
BFS,39,73,74,48.564
Random,525,0,2,0.152
Random,526,0,2,0.152
Random,527,0,2,0.152
Random,528,0,2,0.152
Random,529,0,2,0.151
Random,530,0,2,0.151
DQN,111,1,37,2.162
Random,531,0,2,0.151
Random,532,0,2,0.150
Random,533,0,2,0.150
Random,534,0,2,0.150
A*,38,57,82,50.737
Random,535,0,2,0.150
Random,536,0,2,0.149
Random,537,0,2,0.149
Random,538,0,2,0.149
DQN,112,16,37,2.286
Random,539,1,2,0.150
Random,540,0,2,0.150
Random,541,0,2,0.150
Random,542,1,2,0.151
Random,543,0,2,0.151
Random,544,0,2,0.151
Random,545,0,2,0.150
Random,546,1,2,0.152
Random,547,0,2,0.152
BFS,40,66,74,49.000
Random,548,0,2,0.151
Random,549,1,2,0.153
Random,550,0,2,0.153
A*,39,54,82,50.821
Random,551,0,2,0.152
Random,552,1,2,0.154
Random,553,1,2,0.156
Random,554,0,2,0.155
Random,555,0,2,0.155
Random,556,0,2,0.155
Random,557,0,2,0.154
Random,558,1,2,0.156
Random,559,1,2,0.157
A*,40,37,82,50.475
Random,560,0,2,0.157
Random,561,0,2,0.157
BFS,41,56,74,49.171
Random,562,0,2,0.157
Random,563,0,2,0.156
Random,564,0,2,0.156
Random,565,0,2,0.156
DQN,113,8,37,2.336
Random,566,0,2,0.155
Random,567,0,2,0.155
Random,568,0,2,0.155
Random,569,0,2,0.155
Random,570,0,2,0.154
Random,571,0,2,0.154
Random,572,0,2,0.154
Random,573,0,2,0.154
Random,574,0,2,0.153
Random,575,0,2,0.153
Random,576,0,2,0.153
Random,577,0,2,0.153
A*,41,52,82,50.512
Random,578,1,2,0.154
BFS,42,46,74,49.095
Random,579,0,2,0.154
Random,580,0,2,0.153
Random,581,0,2,0.153
Random,582,0,2,0.153
Random,583,0,2,0.153
Random,584,0,2,0.152
Random,585,0,2,0.152
Random,586,0,2,0.152
Random,587,0,2,0.152
Random,588,0,2,0.151
A*,42,49,82,50.476
Random,589,0,2,0.151
Random,590,0,2,0.151
DQN,114,8,37,2.386
Random,591,0,2,0.151
BFS,43,56,74,49.256
DQN,115,10,37,2.452
Random,592,0,2,0.150
A*,43,30,82,50.000
Random,593,1,2,0.152
Random,594,0,2,0.152
DQN,116,8,37,2.500
Random,595,0,2,0.151
Random,596,0,2,0.151
Random,597,0,2,0.151
Random,598,0,2,0.151
Random,599,0,2,0.150
Random,600,0,2,0.150
Random,601,0,2,0.150
A*,44,40,82,49.773
Random,602,0,2,0.150
Random,603,0,2,0.149
Random,604,1,2,0.151
Random,605,0,2,0.150
Random,606,0,2,0.150
DQN,117,36,37,2.786
BFS,44,66,74,49.636
Random,607,0,2,0.150
Random,608,0,2,0.150
Random,609,0,2,0.149
Random,610,0,2,0.149
Random,611,0,2,0.149
Random,612,0,2,0.149
A*,45,43,82,49.622
DQN,118,22,37,2.949
Random,613,0,2,0.148
Random,614,1,2,0.150
Random,615,0,2,0.150
DQN,119,18,37,3.076
Random,616,0,2,0.149
Random,617,0,2,0.149
Random,618,1,2,0.150
Random,619,0,2,0.150
Random,620,0,2,0.150
Random,621,0,2,0.150
Random,622,0,2,0.150
Random,623,0,2,0.149
Random,624,0,2,0.149
Random,625,0,2,0.149
Random,626,0,2,0.149
A*,46,49,82,49.609
DQN,120,31,37,3.308
Random,627,0,2,0.148
BFS,45,65,74,49.978
Random,628,0,2,0.148
Random,629,0,2,0.148
Random,630,1,2,0.149
Random,631,0,2,0.149
DQN,121,23,37,3.471
Random,632,1,2,0.150
Random,633,1,2,0.152
Random,634,0,2,0.151
Random,635,0,2,0.151
DQN,122,23,37,3.631
Random,636,0,2,0.151
Random,637,1,2,0.152
Random,638,0,2,0.152
Random,639,0,2,0.152
Random,640,1,2,0.153
BFS,46,44,74,49.848
Random,641,0,2,0.153
Random,642,1,2,0.154
Random,643,0,2,0.154
Random,644,1,2,0.155
Random,645,0,2,0.155
DQN,123,22,37,3.780
Random,646,1,2,0.156
Random,647,0,2,0.156
Random,648,0,2,0.156
Random,649,0,2,0.156
Random,650,1,2,0.157
Random,651,0,2,0.157
Random,652,0,2,0.156
BFS,47,35,74,49.532
DQN,124,21,37,3.919
A*,47,79,82,50.234
Random,653,0,2,0.156
Random,654,0,2,0.156
DQN,125,12,37,3.984
Random,655,0,2,0.156
Random,656,1,2,0.157
Random,657,0,2,0.157
Random,658,0,2,0.157
Random,659,0,2,0.156
Random,660,0,2,0.156
Random,661,1,2,0.157
Random,662,1,2,0.159
Random,663,0,2,0.158
Random,664,0,2,0.158
Random,665,0,2,0.158
Random,666,0,2,0.158
Random,667,0,2,0.157
Random,668,0,2,0.157
Random,669,0,2,0.157
DQN,126,45,45,4.310
Random,670,0,2,0.157
Random,671,0,2,0.156
Random,672,0,2,0.156
Random,673,0,2,0.156
Random,674,0,2,0.156
A*,48,61,82,50.458
Random,675,0,2,0.156
Random,676,1,2,0.157
BFS,48,70,74,49.958
Random,677,0,2,0.157
Random,678,0,2,0.156
Random,679,0,2,0.156
DQN,127,29,45,4.504
Random,680,0,2,0.156
Random,681,0,2,0.156
Random,682,1,2,0.157
Random,683,0,2,0.157
Random,684,0,2,0.156
Random,685,1,2,0.158
Random,686,0,2,0.157
DQN,128,31,45,4.711
BFS,49,41,74,49.776
Random,687,0,2,0.157
Random,688,1,2,0.158
Random,689,0,2,0.158
Random,690,0,2,0.158
Random,691,0,2,0.158
Random,692,0,2,0.158
DQN,129,20,45,4.829
Random,693,0,2,0.157
Random,694,0,2,0.157
BFS,50,42,74,49.620
A*,49,83,83,51.122
Random,695,1,2,0.158
Random,696,0,2,0.158
DQN,130,28,45,5.008
Random,697,0,2,0.158
Random,698,0,2,0.158
Random,699,0,2,0.157
Random,700,0,2,0.157
BFS,51,23,74,49.098
Random,701,1,2,0.158
Random,702,1,2,0.160
Random,703,0,2,0.159
Random,704,0,2,0.159
DQN,131,28,45,5.183
A*,50,44,83,50.980
Random,705,0,2,0.159
Random,706,0,2,0.159
DQN,132,18,45,5.280
Random,707,0,2,0.158
Random,708,0,2,0.158
Random,709,0,2,0.158
Random,710,0,2,0.158
Random,711,0,2,0.158
Random,712,0,2,0.157
BFS,52,56,74,49.231
Random,713,0,2,0.157
Random,714,0,2,0.157
Random,715,0,2,0.157
Random,716,1,2,0.158
DQN,133,32,45,5.481
Random,717,0,2,0.158
Random,718,0,2,0.157
Random,719,0,2,0.157
Random,720,0,2,0.157
A*,51,74,83,51.431
DQN,134,23,45,5.612
BFS,53,49,74,49.226
Random,721,0,2,0.157
Random,722,0,2,0.157
Random,723,0,2,0.156
Random,724,0,2,0.156
Random,725,0,2,0.156
Random,726,0,2,0.156
Random,727,0,2,0.155
Random,728,0,2,0.155
Random,729,1,2,0.156
DQN,135,31,45,5.800
Random,730,0,2,0.156
Random,731,0,2,0.156
Random,732,1,2,0.157
Random,733,0,2,0.157
A*,52,47,83,51.346
Random,734,0,2,0.157
BFS,54,50,74,49.241
DQN,136,22,45,5.919
Random,735,0,2,0.156
Random,736,1,2,0.158
Random,737,0,2,0.157
Random,738,0,2,0.157
A*,53,28,83,50.906
DQN,137,20,45,6.022
Random,739,0,2,0.157
Random,740,0,2,0.157
Random,741,0,2,0.157
Random,742,0,2,0.156
Random,743,0,2,0.156
Random,744,0,2,0.156
Random,745,0,2,0.156
Random,746,0,2,0.155
BFS,55,51,74,49.273
DQN,138,33,45,6.217
Random,747,0,2,0.155
Random,748,0,2,0.155
Random,749,0,2,0.155
Random,750,0,2,0.155
Random,751,1,2,0.156
Random,752,0,2,0.156
Random,753,0,2,0.155
Random,754,0,2,0.155
A*,54,57,83,51.019
Random,755,0,2,0.155
Random,756,0,2,0.155
Random,757,1,2,0.156
DQN,139,30,45,6.388
Random,758,0,2,0.156
Random,759,0,2,0.155
Random,760,0,2,0.155
Random,761,0,2,0.155
Random,762,0,2,0.155
DQN,140,17,45,6.464
Random,763,0,2,0.155
Random,764,1,2,0.156
Random,765,0,2,0.156
Random,766,0,2,0.155
Random,767,0,2,0.155
Random,768,0,2,0.155
BFS,56,65,74,49.554
Random,769,1,2,0.156
DQN,141,17,45,6.539
Random,770,0,2,0.156
Random,771,1,2,0.157
Random,772,0,2,0.157
Random,773,0,2,0.157
DQN,142,22,45,6.648
Random,774,0,2,0.156
A*,55,70,83,51.364
Random,775,0,2,0.156
BFS,57,37,74,49.333
DQN,143,21,45,6.748
Random,776,0,2,0.156
Random,777,0,2,0.156
Random,778,0,2,0.156
Random,779,0,2,0.155
BFS,58,30,74,49.000
A*,56,33,83,51.036
Random,780,0,2,0.155
DQN,144,26,45,6.882
Random,781,0,2,0.155
Random,782,0,2,0.155
Random,783,0,2,0.155
Random,784,0,2,0.154
Random,785,0,2,0.154
Random,786,0,2,0.154
Random,787,0,2,0.154
Random,788,0,2,0.154
Random,789,0,2,0.153
Random,790,0,2,0.153
DQN,145,25,45,7.007
Random,791,0,2,0.153
Random,792,0,2,0.153
Random,793,0,2,0.153
Random,794,0,2,0.152
BFS,59,44,74,48.915
Random,795,0,2,0.152
DQN,146,23,45,7.116
Random,796,0,2,0.152
A*,57,54,83,51.088
