game_num,score,record,mean_score
499,47,78,27.082
500,33,78,27.094
501,23,78,27.086
502,39,78,27.110
503,28,78,27.111
504,22,78,27.101
505,23,78,27.093
506,42,78,27.123
507,32,78,27.132
508,25,78,27.128
509,21,78,27.116
510,35,78,27.131
511,11,78,27.100
512,22,78,27.090
513,11,78,27.058
514,48,78,27.099
515,29,78,27.103
516,45,78,27.138
517,32,78,27.147
518,12,78,27.118
519,12,78,27.089
520,29,78,27.092
521,21,78,27.081
522,56,78,27.136
523,33,78,27.147
524,29,78,27.151
525,34,78,27.164
526,34,78,27.177
527,0,78,27.125
528,42,78,27.153
529,25,78,27.149
530,31,78,27.157
531,28,78,27.158
532,23,78,27.150
533,30,78,27.156
534,37,78,27.174
535,30,78,27.179
536,26,78,27.177
537,47,78,27.214
538,28,78,27.216
539,53,78,27.263
540,45,78,27.296
541,18,78,27.279
542,17,78,27.260
543,31,78,27.267
544,68,78,27.342
545,21,78,27.330
546,15,78,27.308
547,35,78,27.322
548,32,78,27.330
549,22,78,27.321
550,17,78,27.302
551,34,78,27.314
552,39,78,27.335
553,46,78,27.369
554,36,78,27.384
555,40,78,27.407
556,29,78,27.410
557,45,78,27.442
558,24,78,27.435
559,39,78,27.456
560,22,78,27.446
561,29,78,27.449
562,14,78,27.425
563,50,78,27.465
564,25,78,27.461
565,33,78,27.471
566,34,78,27.482
567,48,78,27.519
568,29,78,27.521
569,29,78,27.524
570,35,78,27.537
571,43,78,27.564
572,19,78,27.549
573,28,78,27.550
574,18,78,27.533
575,35,78,27.546
